date,country,growth_score,inflation_score,liquidity_score,regime_raw,regime,regime_confidence,regime_note,liquidity_regime
1967-05-01,china,,-0.6363991972691048,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1967-06-01,china,,-0.6340091181522374,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1967-07-01,china,,-0.6316457670859461,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1967-08-01,china,,-0.6293086495930479,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1967-09-01,china,,-0.6269972839094826,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1967-10-01,china,,-0.6247112005671318,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1967-11-01,china,,-0.6224499419932464,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1967-12-01,china,,-0.5086719440164333,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1968-01-01,china,,-0.5070212333801771,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1968-02-01,china,,-0.5053864894944029,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1968-03-01,china,,-0.5037674566064907,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1968-04-01,china,,-0.5021638846625595,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1968-05-01,china,,-0.5005755291452374,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1968-06-01,china,,-0.4990021509170441,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1968-07-01,china,,-0.4974435160691517,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1968-08-01,china,,-0.49589939577531134,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1968-09-01,china,,-0.4943695661507363,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1968-10-01,china,,-0.49285380811574425,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1968-11-01,china,,-0.49135190726397127,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1968-12-01,china,,-0.3565669665673215,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1969-01-01,china,,-0.35559074428275417,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1969-02-01,china,,-0.35462249655490774,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1969-03-01,china,,-0.3536621154008848,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
