date,value,series_id,country,source,frequency,release_date,ingested_at
1877-04-01,8.31,shiller_pe_proxy,us,multpl,monthly,1877-04-01,2026-03-23 03:32:54.406941+00:00
1877-05-01,8.18,shiller_pe_proxy,us,multpl,monthly,1877-05-01,2026-03-23 03:32:54.406941+00:00
1877-06-01,8.05,shiller_pe_proxy,us,multpl,monthly,1877-06-01,2026-03-23 03:32:54.406941+00:00
1877-07-01,8.35,shiller_pe_proxy,us,multpl,monthly,1877-07-01,2026-03-23 03:32:54.406941+00:00
1877-08-01,9.29,shiller_pe_proxy,us,multpl,monthly,1877-08-01,2026-03-23 03:32:54.406941+00:00
1877-09-01,9.99,shiller_pe_proxy,us,multpl,monthly,1877-09-01,2026-03-23 03:32:54.406941+00:00
1877-10-01,10.22,shiller_pe_proxy,us,multpl,monthly,1877-10-01,2026-03-23 03:32:54.406941+00:00
1877-11-01,10.27,shiller_pe_proxy,us,multpl,monthly,1877-11-01,2026-03-23 03:32:54.406941+00:00
1877-12-01,10.25,shiller_pe_proxy,us,multpl,monthly,1877-12-01,2026-03-23 03:32:54.406941+00:00
1878-01-01,10.57,shiller_pe_proxy,us,multpl,monthly,1878-01-01,2026-03-23 03:32:54.406941+00:00
1878-02-01,10.45,shiller_pe_proxy,us,multpl,monthly,1878-02-01,2026-03-23 03:32:54.406941+00:00
1878-03-01,10.88,shiller_pe_proxy,us,multpl,monthly,1878-03-01,2026-03-23 03:32:54.406941+00:00
1878-04-01,11.29,shiller_pe_proxy,us,multpl,monthly,1878-04-01,2026-03-23 03:32:54.406941+00:00
1878-05-01,11.71,shiller_pe_proxy,us,multpl,monthly,1878-05-01,2026-03-23 03:32:54.406941+00:00
1878-06-01,12.21,shiller_pe_proxy,us,multpl,monthly,1878-06-01,2026-03-23 03:32:54.406941+00:00
1878-07-01,12.31,shiller_pe_proxy,us,multpl,monthly,1878-07-01,2026-03-23 03:32:54.406941+00:00
1878-08-01,12.06,shiller_pe_proxy,us,multpl,monthly,1878-08-01,2026-03-23 03:32:54.406941+00:00
1878-09-01,12.3,shiller_pe_proxy,us,multpl,monthly,1878-09-01,2026-03-23 03:32:54.406941+00:00
1878-10-01,12.28,shiller_pe_proxy,us,multpl,monthly,1878-10-01,2026-03-23 03:32:54.406941+00:00
1878-11-01,12.37,shiller_pe_proxy,us,multpl,monthly,1878-11-01,2026-03-23 03:32:54.406941+00:00
1878-12-01,12.58,shiller_pe_proxy,us,multpl,monthly,1878-12-01,2026-03-23 03:32:54.406941+00:00
1879-01-01,12.87,shiller_pe_proxy,us,multpl,monthly,1879-01-01,2026-03-23 03:32:54.406941+00:00
1879-02-01,13.18,shiller_pe_proxy,us,multpl,monthly,1879-02-01,2026-03-23 03:32:54.406941+00:00
1879-03-01,13.09,shiller_pe_proxy,us,multpl,monthly,1879-03-01,2026-03-23 03:32:54.406941+00:00
1879-04-01,13.66,shiller_pe_proxy,us,multpl,monthly,1879-04-01,2026-03-23 03:32:54.406941+00:00
1879-05-01,14.25,shiller_pe_proxy,us,multpl,monthly,1879-05-01,2026-03-23 03:32:54.406941+00:00
1879-06-01,14.45,shiller_pe_proxy,us,multpl,monthly,1879-06-01,2026-03-23 03:32:54.406941+00:00
1879-07-01,14.54,shiller_pe_proxy,us,multpl,monthly,1879-07-01,2026-03-23 03:32:54.406941+00:00
1879-08-01,14.61,shiller_pe_proxy,us,multpl,monthly,1879-08-01,2026-03-23 03:32:54.406941+00:00
1879-09-01,14.59,shiller_pe_proxy,us,multpl,monthly,1879-09-01,2026-03-23 03:32:54.406941+00:00
1879-10-01,15.29,shiller_pe_proxy,us,multpl,monthly,1879-10-01,2026-03-23 03:32:54.406941+00:00
1879-11-01,15.26,shiller_pe_proxy,us,multpl,monthly,1879-11-01,2026-03-23 03:32:54.406941+00:00
1879-12-01,14.77,shiller_pe_proxy,us,multpl,monthly,1879-12-01,2026-03-23 03:32:54.406941+00:00
1880-01-01,14.87,shiller_pe_proxy,us,multpl,monthly,1880-01-01,2026-03-23 03:32:54.406941+00:00
1880-02-01,15.12,shiller_pe_proxy,us,multpl,monthly,1880-02-01,2026-03-23 03:32:54.406941+00:00
1880-03-01,15.23,shiller_pe_proxy,us,multpl,monthly,1880-03-01,2026-03-23 03:32:54.406941+00:00
1880-04-01,15.46,shiller_pe_proxy,us,multpl,monthly,1880-04-01,2026-03-23 03:32:54.406941+00:00
1880-05-01,14.63,shiller_pe_proxy,us,multpl,monthly,1880-05-01,2026-03-23 03:32:54.406941+00:00
1880-06-01,14.95,shiller_pe_proxy,us,multpl,monthly,1880-06-01,2026-03-23 03:32:54.406941+00:00
1880-07-01,15.59,shiller_pe_proxy,us,multpl,monthly,1880-07-01,2026-03-23 03:32:54.406941+00:00
1880-08-01,16.1,shiller_pe_proxy,us,multpl,monthly,1880-08-01,2026-03-23 03:32:54.406941+00:00
1880-09-01,15.86,shiller_pe_proxy,us,multpl,monthly,1880-09-01,2026-03-23 03:32:54.406941+00:00
1880-10-01,16.26,shiller_pe_proxy,us,multpl,monthly,1880-10-01,2026-03-23 03:32:54.406941+00:00
1880-11-01,16.87,shiller_pe_proxy,us,multpl,monthly,1880-11-01,2026-03-23 03:32:54.406941+00:00
1880-12-01,17.33,shiller_pe_proxy,us,multpl,monthly,1880-12-01,2026-03-23 03:32:54.406941+00:00
1881-01-01,18.47,shiller_pe_proxy,us,multpl,monthly,1881-01-01,2026-03-23 03:32:54.406941+00:00
1881-02-01,18.15,shiller_pe_proxy,us,multpl,monthly,1881-02-01,2026-03-23 03:32:54.406941+00:00
1881-03-01,18.28,shiller_pe_proxy,us,multpl,monthly,1881-03-01,2026-03-23 03:32:54.406941+00:00
1881-04-01,17.95,shiller_pe_proxy,us,multpl,monthly,1881-04-01,2026-03-23 03:32:54.406941+00:00
1881-05-01,18.88,shiller_pe_proxy,us,multpl,monthly,1881-05-01,2026-03-23 03:32:54.406941+00:00
1881-06-01,19.04,shiller_pe_proxy,us,multpl,monthly,1881-06-01,2026-03-23 03:32:54.406941+00:00
1881-07-01,18.11,shiller_pe_proxy,us,multpl,monthly,1881-07-01,2026-03-23 03:32:54.406941+00:00
1881-08-01,17.28,shiller_pe_proxy,us,multpl,monthly,1881-08-01,2026-03-23 03:32:54.406941+00:00
1881-09-01,16.72,shiller_pe_proxy,us,multpl,monthly,1881-09-01,2026-03-23 03:32:54.406941+00:00
1881-10-01,16.25,shiller_pe_proxy,us,multpl,monthly,1881-10-01,2026-03-23 03:32:54.406941+00:00
1881-11-01,16.48,shiller_pe_proxy,us,multpl,monthly,1881-11-01,2026-03-23 03:32:54.406941+00:00
